cafeName,location,phoneNumber,website
"Plowshares Coffee Bloomingdale","2730 Broadway, New York, NY 10025","(212) 222-0280","plowsharescoffee.com"
"Variety Coffee Roasters","261 7th Ave, New York, NY 10001","(917) 409-0106","varietycoffeeroasters.com"
"St Kilda Coffee","328 W 44th St, New York, NY 10036","(917) 262-0945","stkildacoffee.com"
"Hi-Collar","231 E 9th St, New York, NY 10003","(212) 777-7018","hi-collar.com"
"787 Coffee","93 Worth St, New York, NY 10013","(917) 444-1196","787coffee.com"
"Old Fashion Café","110 Thompson St, New York, NY 10012","(646) 484-5681","oldfashioncafenyc.com"
"The Lazy Llama Coffee Bar","72 E 1st St, New York, NY 10003","(646) 410-1938","No Website"
"Dreamers Coffee House","54W Henry St, New York, NY 10002","No Number","instagram.com"
"La Cabra","284 Lafayette St, New York, NY 10012","No Number","us.lacabra.com"
"Horus Cafe on A","293 E 10th St, New York, NY 10009","(212) 228-4774","horuscafeona.com"
"Cafe Yaya","137 Thompson St, New York, NY 10012","No Number","No Website"
"Brewlita","227 Mulberry St, New York, NY 10012","No Number","No Website"
"Charlotte Cafe","605 2nd Ave, New York, NY 10016","(347) 318-7107","charlottecafe.com"
