cafeName,reviewerName,Description,rating,datePosted
"The Oasis Cafe","Mona Al-Kazemi","The vibes of this cafe are so uplifting! From the moment we entered, we were greeted with friendly smiles from someone who looks like the manager and the others, including Lexi, who was also generous with us. Christmas music and decorations made it feel so joyful - we were really happy to be there!\n\nLoved the fresh cream of the strawberry tres leches cake - very delicious!","5","a month ago"
"The Oasis Cafe","Ruwan J.","meant to write this review back in the summer.  stopped at Oasis Cafe for coffee a few times. stopped by here on sweltering summer days and Oasis had the best remedy--ice-cold iced Americano. nothing like medium roast coffee to cool you down when humidity and sun are combining to beat you up when you dare step outside. the cafe is very large. the summery beach vibed interior is really clean, modern, and upbeat. there's plenty of seats if you need a moment or two to collect your thoughts, have a conversation, or do some work. beyond the cafe's variety of drinks, there's a large variety of pastries, cakes, and more to satisfy those pangs of hunger...they are all on display from front to back. service is quick and friendly enough. Oasis Cafe is definitely  worth a stop by in any season as it has a great location on Avenue A and it is close enough to L if you have to head elsewhere.","4","a month ago"
"The Oasis Cafe","Carolina Vasquez","This store for me was something wonderful when they opened it I bought everything but when I say everything I mean everything I tried everything I was one of the happiest customers with this cafe the staff that served me at the beginning I give 10 out of 10 there is a young man who is the best actually I don't remember his name but he is the only man I have seen in the store until today who I think was the owner who was helping I don't know. But today I had the worst experience with a crème brûlée it had an eggy flavor and smelled like egg it was missing a touch of salt I don't know what happened but the most horrible thing was that eggy flavor. On the other hand one of the girls at the store always has a super ugly face at the customers. The prices are very good and each dessert is delicious my experience is different every time I go.","3","4 months ago"
"The Oasis Cafe","Farnoosh","I had been to their other location on 9th Ave, but it was my first time trying this new location. I'm happy that they have more tables here and they don't mind people using laptops. We got flat white and baklava cheesecake and they were both good. They have so many other desserts I'd like to try. So, I'll definitely be going back.","5","2 months ago"
"The Oasis Cafe","Yellow Roses","The Oasis Café is a delightful gem that truly lives up to its name. With its warm and inviting atmosphere, it offers a perfect retreat from the hustle and bustle. The menu is thoughtfully curated, featuring fresh ingredients and flavorful options to satisfy every craving, from aromatic coffees to delectable bites. The staff is friendly and attentive, making you feel right at home. Whether you're stopping by for a quick drink or a leisurely meal, the Oasis Café is a haven of comfort and quality. It's the kind of place that keeps you coming back for more! Try the smoothies, healthy and delicious, and its cortado is unbeatable! They roast their own coffee!","5","2 months ago"
"The Oasis Cafe","Suebin Kang","Me and my friend came here after dinner. It was hard to find an open cafe at late night and this was a perfect spot. The interior was so cute and fresh, plus the desserts were perfect✨ The staff and the owner were very nice and friendly!!","5","5 months ago"
"The Oasis Cafe","Miguel Vasquez","I attended the grand opening of this amazing bakery on Pride Sunday. Omg I'm so glad I got to go. The space is very cute and the desserts all look amazing. I've had their coconut and their chocolate pistachio baklava bites. I also tried their baklava cheesecake. All were very delicious. I cannot wait to go back to try more of their awesome desserts.","5","7 months ago"
"The Oasis Cafe","Mellow Acro","Everything in this cafe looks so delicious and I need to come back and try all the other items! I decided to try the Ferrero cake and berry hot chocolate. Both were delicious and not overwhelmingly sweet. I met one of the owners Dennis, who was extremely nice and hospitable. I hope they open more locations soon!","5","7 months ago"
"The Oasis Cafe","Demetri Zioulis","Amazing new dessert spot in East Village! The ambiance is cozy and inviting, perfect for a sweet treat getaway. Their Ekmek Kataifi and Boston Creme Cheesecake is a must-try—it's beautifully presented and absolutely delicious. The menu has a fantastic variety of unique and classic Greek desserts, ensuring something for everyone. The staff is friendly and attentive, making the experience even more enjoyable. Highly recommend for anyone with a sweet tooth!","5","7 months ago"
"The Oasis Cafe","Natasha","Hate to do this but I was craving dessert and ordered online got two tarts and banana pudding, both were terrible! The “cream” on the tart tasted like nothing I’m not even sure what it is, and the banana pudding was more like banana oatmeal or something, not decadent and with a really bitter aftertaste. Was really hoping for some yummy dessert…","1","4 months ago"
"The Oasis Cafe","Manny Sergentakis","Best and most flavorful coffee and pastries in NYC.  I will be getting my coffee from here every day from now on.  Excellent quality","5","4 months ago"
"The Oasis Cafe","Arsela M","Oasis is INCREDIBLE! All the desserts are so unique & rich! I love the triple chocolate mousse so much. Special shout out to all the staff and managers here they are so amazing!!! Everyone is so kind and sweet and friendly and love what they do! Best vibes ever! You will definitely be missing out if you don’t check out Oasis!! 💛 enjoy life eat cake 💛","5","4 months ago"
"The Oasis Cafe","Daphne C","I've been to the Bayside location many times so definitely excited to see one open in the city. Stamati made our freddo cappuccinos and it was delicious. Can't wait to make this one of my regular spots :)","5","7 months ago"
"The Oasis Cafe","Ben Redmond","Got the baklava cheesecake, was amazing. The combination of the honey from the baklava and the creaminess of the cheesecake was great. A bit sweet though\n\nThe staff here is really friendly as well!","5","7 months ago"
"The Oasis Cafe","Jay Singh","Yeah this place is good. Cakes are excellente!","5","a week ago"
"The Oasis Cafe","Ashley Sims","The chia berry smoothie & maple cinnamon matcha was super yummy & I can tell it was made with love 🫶🏼 the service is super friendly :)","5","2 weeks ago"
"The Oasis Cafe","Mayumi Verse","The pastries are sweet, but the staff are sweeter 🩵 So happy I stopped by to try out the orange cake and tiramisu. Make sure to stop by ✨💗","5","6 months ago"
"The Oasis Cafe","Dhruv Patel","Cafe open late with a lot of dessert and pastry options. I thought the Cortado was average, but the strawberry shortcake was light and delicious. I’d go back here for dessert rather than coffee.","3","6 months ago"
"The Oasis Cafe","rahul mehta","Superb stuff and I love that they’re open late. It’s a fantastic post dinner dessert place without the feeling of over-indulgence. The baklava was amazing and so was the orange cake. The pricing is terrific. I’m marking this spot as a regular repeat.","5","4 months ago"
"The Oasis Cafe","Karlee Reese","Vibes, flavors, and people are all 10/10. Maple cinnamon matcha tastes like Christmas ❤️ the napoleon dessert was amazing and both times I came people behind counter were friendly","5","a month ago"
"The Oasis Cafe","Nistha T","My favorite cafe in the east village! The service, atmosphere, drinks, desserts and pastries are fantastic! The cafe itself is so cute and literally an oasis, and staff is always friendly. Love it!","5","3 weeks ago"
"The Oasis Cafe","Vonneyy","I would love to give 5 stars due to the warm welcoming you get when you enter this store .Full of energy , smiles & greetings.\nI got the pleasure to meet Alexis and Wendy my first time coming to this store and they helped me pick out a couple deserts and they were so good. My favorite desert was the strawberry shortcake so yummy thanks Alexis for recommending that.\nI let all my friends and family know and they will be coming to try your deserts and I will be back for sure.\nKeep up the great customer service Alexis and Wendy.\nLove Vonneyy","5","5 months ago"
"The Oasis Cafe","Elizabeth Curry","Both Chris and Tony, but especially Chris, went above and beyond my customer service expectations. Chris was able to accommodate me to the best of his ability when I came in looking for the [sold out] Original Baklava Bites. The exceptional staff + the delicious baklava desserts are the reason why I will always be a returning customer!","5","5 months ago"
"The Oasis Cafe","Van essa","Finally I do not need to goto Astoria anymore! The Greek pastries here are just the same quality and price without the commute.\n\nPretty much everything here tastes amazing, and service is wonderful! It's a very welcome addition to the East Village!","5","5 months ago"
"The Oasis Cafe","Christina Mansfield","Love this place! Pastries are delicious and not expensive. I esp love that they have small treats that I can always rationalize. (try the baklavas!)","5","4 months ago"
"The Oasis Cafe","Neyline Quiles","Such a cute place! It’s what the neighborhood needed. As soon as I walked in I was greeted with a pastry sample as a welcome. Everything I have tried so far has been delicious. (Especially the Caramel Cloud Macchiato and the Oreo Mousse Cake!) Can’t wait to stop by again!","5","7 months ago"
"The Oasis Cafe","Lindsay Howard","To be honest, this was the worst dessert I have ever ordered. Red velvet truffles tasted horrific - chemical / incredibly old. Berry cream puff was horrible - tasted like chemical fake blueberry taste and bright blue food coloring. I never post reviews but this was the worst.","1","6 months ago"
"The Oasis Cafe","Riley Miller","this place recently opened, and it is truly lovely every time i come here. not just because i love their matcha lattes but also because their customer service is just amazing! everyone is very nice every time.","5","5 months ago"
"The Oasis Cafe","George Silva","I was in the neighborhood & I was glad to see the familiar Palm tree of Oasis.  I have visited the one in Flushing so many times.  & this has the same pastries plus unbelievable latte. Chai Latte with oat milk is my favorite.  The Baklava is to die.  So Glad it is in this neighborhood!!!! I will visit again!!!","5","7 months ago"
"The Oasis Cafe","Sweenly Liu","Walked by and decided to give them a chance and order on Uber eats. Really cute store but the pastries are stale. I would give their drinks a try but the fudge cake, Napoleon, cream puffs are a miss.","3","6 months ago"
"The Oasis Cafe","TROKA JOHN","Amazing place. Coffee is on another level and desserts there hits different. The environment is one of a kind. I’ve been to all locations they own and never been disappointed!","5","6 months ago"
"The Oasis Cafe","Cait Pritchard","Wow! such a cute cafe. Great addition to Avenue A, such a unique vibe and taste! def recommend. Shelby made the BEST latte. can’t wait to come back.","5","7 months ago"
"The Oasis Cafe","Jamie Bakleh","Beautiful spot, wonderful vibe. Espresso was impeccable, dessert options so unique and all looked fresh and amazing. Service was fantastic. Can’t rave enough about this place! The prices were very affordable.","5","7 months ago"
"The Oasis Cafe","Bobby Fintor","I don’t understand. In order to sign up for the loyalty program and get points I have to order online, even if I’m in the store. Way toooooooo much work. I want to stop in pick a delicious sweet tap (pay) and leave. I’m not gonna go online order it and stand in the store like an idiot waiting for them to get the order so they can hand it to me just to get points.\nEvery other café in the neighborhood, you simply tap when you’re pain and get points","4","6 months ago"
"The Oasis Cafe","Elizabeth G","Beautiful place, great service...tasty treats!!","5","4 months ago"
"The Oasis Cafe","Nazmul Hossain","Amazing taste and freshness guaranteed ⚡️","5","4 months ago"
"The Oasis Cafe","Chandler McCune","Briana and Kenya were amazing! Helped us pick the perfect cake for my boyfriend's birthday! 10/10!!'","5","5 months ago"
"The Oasis Cafe","Paul Falvo","Fantastic pastries and cakes! Coffee is also very good. Gem of a joint","5","5 months ago"
"The Oasis Cafe","Gregor J. Rothfuss","Bold, unusual pastries like baklava cheesecake.","5","7 months ago"
"The Oasis Cafe","Jorge Maldonado","Great drinks and friendly workers, chocolate pistachio baklava is very good","5","3 months ago"
"The Oasis Cafe","Vladana Mijanović","Great coffee and real baklava among other deserts!","5","2 months ago"
